0, 0
0.00100444, 1.49081e-05
0.00414581, 5.93397e-05
0.00931211, 0.000132147
0.0165173, 0.000232673
0.0257353, 0.000360318
0.0369336, 0.000514636
0.0500731, 0.00069533
0.0651086, 0.000902219
0.0819891, 0.00113525
0.100658, 0.00139448
0.121053, 0.00168
0.143109, 0.00199193
0.166753, 0.0023304
0.191911, 0.00269553
0.218505, 0.00308737
0.246451, 0.00350585
0.275667, 0.00395087
0.306064, 0.00442219
0.337555, 0.0049195
0.370049, 0.0054423
0.403456, 0.00598995
0.437685, 0.00656177
0.472644, 0.00715701
0.508243, 0.00777482
0.544392, 0.00841412
0.581, 0.0090739
0.617981, 0.00975303
0.65525, 0.0104504
0.692721, 0.0111649
0.730314, 0.0118954
0.767949, 0.0126409
0.805551, 0.0134
0.843047, 0.014172
0.880365, 0.0149556
0.917439, 0.01575
0.954206, 0.0165541
0.990605, 0.017367
1.02658, 0.0181878
1.06208, 0.0190158
1.09705, 0.019845
1.13145, 0.0206912
1.16522, 0.0215399
1.19834, 0.0223935
1.23076, 0.0232377
1.26247, 0.0240912
1.29342, 0.0249489
1.3236, 0.0258081
1.35297, 0.0266683
1.38152, 0.0275287
1.40923, 0.0283887
1.43609, 0.0292475
1.46208, 0.0301045
1.4872, 0.0309591
1.51143, 0.0318104
1.53478, 0.0326574
1.55725, 0.0335001
1.57882, 0.0343373
1.5995, 0.0351684
1.6193, 0.0359924
1.63823, 0.0368088
1.65628, 0.0376169
1.67346, 0.0384154
1.68979, 0.0392042
1.70528, 0.0399823
1.71993, 0.040749
1.73376, 0.0415037
1.74679, 0.0422455
1.75902, 0.0429738
1.77047, 0.0436882
1.78116, 0.0443881
1.79111, 0.0450734
1.80032, 0.0457434
1.80882, 0.0463968
1.81663, 0.0470341
1.82376, 0.0476546
1.83022, 0.0482577
1.83605, 0.0488431
1.84125, 0.0494114
1.84585, 0.0499616
1.84985, 0.0504936
1.85329, 0.0510074
1.85618, 0.0515028
1.85853, 0.05198
1.86037, 0.0524385
1.86171, 0.0528788
1.86257, 0.0533007
1.86297, 0.0537039
1.86292, 0.054089
1.86244, 0.0544561
1.86155, 0.0548059
1.86026, 0.0551365
1.85859, 0.0554502
1.85656, 0.0557463
1.85418, 0.0560253
1.85147, 0.0562871
1.84843, 0.0565326
1.8451, 0.0567617
